use,occurrence_positions,domain_tool,domain_accessory,domain_construction,domain_philosophical,domain_miscellaneous
key ring,0;8,,x,,,
(tiny) screwdriver,1,x,,,,
bra strap hider,2,x,,,,
bookmark,3;6;7;1;3;0,x,,,,
brush hair remover,4;3;4,x,,,,
bag opener,5,x,,,,
cherry pit remover,6,x,,,,
smartphone  stand,7,,,x,,
lock pick,8;1;0;3;3;4;2;6;1,x,,,,
antenna,0,,,x,,
electrical circuit,1,,,x,,
compass (needle),2,,,x,,
cork board tack,3,x,,,,
tattoo needle,4;9,x,,,,
(tiny) doll accessories (coat hanger / sword),5;6,,,x,,
fingertip spikey,7,,x,,,
weapon,8;6,x,,,,
(punk-rock) collar / hat spikes,9;10,,x,,,
fishing hook,11,,,x,,
mobile hanger,12,,,x,,
build mini mobile,13,,,x,,
pry out SD card / dvd drive,14;2,x,,,,
stress relief toy (fidget),15;7,,,,,x
tiny kite frame for clay model,16,,,x,,
hanging objects (picture frames),17;9;3;13;2,,,x,,
paper airplane / frisbee weights,18;19,,,,,x
(hold) hair (bobby) clip,20;4;2;0;1;2;0;0;1,x,,,,
keep / hold / organize / clip paper together,21;0;0;3;0;0;0;0;0;0;0;0;3,x,,,,
bracelet,22;2;5;2,,x,,,
slingshot ammo,23,,,,,x
rubber band shooter,24,,,x,,
making music (shake box of paperclips) ,25;10,x,,,,
(tiny) piano keys,26,,,x,,
(string) hooks on guitar,27,,,x,,
sim card tool,0;1;12,x,,,,
toothpick (remove stuff from teeth),1;14,x,,,,
(handcuff) key,1,x,,,,
fishing lure,2,x,,,,
make a ring,3;3,,x,,,
poke holes (paper / potato / play-doh),4;1;1;3;3,x,,,,
splint for injured finger,5,,,,,x
eat food with (utensil),6,x,,,,
scratch (itchy) skin (back / toe),7;10;13;8,x,,,,
pop a balloon,1,x,,,,
use to stitch clothing together,2,x,,,,
trade for something,3,,,,,x
sell (on eBay),4,,,,,x
phone (port) / tiny gun cleaner ,0;1;4,x,,,,
reset / restart  modem / phone,2;4;1,x,,,,
make earring,5;6;2;6;4;1,,x,,,
making necklace,6;4;3;5,,x,,,
hanging ornament,8;1;3,x,,,,
magnet tester,11,x,,,,
building a (stick) figures (animals / characters) ,12;5,,,x,,
(painting) decoration,14;9;10,,,,,x
throwing (if frustrated),0;9,,,,,x
tracing (oval) designs (on paper) / drawing aid,2;4;4,x,,,,
open (long line) for hard to reach places (fell behind desk),3;4;3,x,,,,
holding ,1,x,,,,
attaching ,2,x,,,,
to separate,0,x,,,,
to stack,1,,,,,x
make a chain,3;6,,x,,,
hold / pin (torn) clothes,5;2;2,x,,,,
clip for reminders ,0,x,,,,
hold money / receipts together,1;2;0;2,x,,,,
digging tool (for sand),3;2;13,x,,,,
(coffee) stirring tool,4;13,x,,,,
fashion (straight) piece of metal (stick),5;0,,,x,,
cleaning brush,0,x,,,,
bridge a blown fuse with,0,,,x,,
replace zipper pull,1;9;1,x,,,,
mark a page,4;5;4,x,,,,
crochet marker,2,x,,,,
nail,3,x,,,,
pen holder,8,x,,,,
crochet / knitting needles,10;11,x,,,,
place marker,1,x,,,,
chisel / whittling / carving tool,3;4;5,x,,,,
painting tool (brush),5;8,x,,,,
wire / cord holder,6;0,x,,,,
electricity experiment,7,,,x,,
repair items (glasses),2;2,,,,,x
make nail art ,4,x,,,,
unclog (small) hole,1,x,,,,
unlock door,1,x,,,,
packet / bag closer ,0;1,x,,,,
clean nails (cuticle),1;0;1;0,x,,,,
poke someone ,2,x,,,,
making furniture,3,x,,,,
connecting objects ,1,x,,,,
grabbing / gripping objects ,2;12,x,,,,
launching a mouse trap ,5,x,,,,
writing ,6,x,,,,
scratching (lottery card),7;7,x,,,,
hold / pin objects in place (flower),11;2,x,,,,
(roasting) skewered food (marshmallow / kebab) ,2;7;8,x,,,,
making sculptures ,3,,,x,,
making miniature houses ,4,,,x,,
flicking objects,5,x,,,,
closing a (bracelet) clasp ,4,x,,,,
making figures for necklace (pendants and charms),0,,,x,,
conductor for metal (wires),1;1,,,,,x
make curtain ,3,,,x,,
(bent) on a chair as practical joke,4,,,,,x
put gum on the end to collect items,7,x,,,,
toyâ€™s teeth (alligators mouth) ,1,,x,,,
to roll around (a charger),9,,,,,x
to untangle something,2,x,,,,
to draw on sand,3,x,,,,
staple,4,,,,,x
insect / bug killer,6,x,,,,
nose ring,0,,x,,,
self defense ,5,x,,,,
pin / thumbtack,7,x,,,,
nappy clip,3,x,,,,
